Voltage (V),Current (A),Temperature (°C),Vibration (mm/s),Label
475.13,0.24,102.13,24.35,high
473.3,36.39,92.51,27.25,high
279.45,0.36,107.12,23.24,high
299.13,1.37,90.63,26.88,high
398.15,8.3,46.5,1.97,low
352.58,14.28,72.62,3.82,moderate
366.43,16.27,50.53,1.57,low
387.89,10.13,76.53,10.18,moderate
416.47,26.19,73.45,17.33,moderate
359.52,17.8,87.05,3.24,moderate
381.87,32.2,78.19,0.17,moderate
411.43,16.25,47.78,0.01,normal
375.24,8.83,53.14,2.53,low
472.55,0.85,102.56,21.49,high
416.57,17.15,40.9,5.02,low
210.44,1.21,99.8,26.1,high
351.27,32.59,33.14,14.45,moderate
356.93,25.21,86.37,2.22,moderate
387.45,19.58,44.62,4.93,normal
358.06,27.75,84.11,2.89,moderate
389.23,18.17,38.91,1.02,normal
388.5,11.59,36.35,3.96,normal
416.28,12.36,43.16,0.74,normal
351.57,17.81,76.28,3.46,moderate
472.08,1.92,93.84,24.91,high
347.74,13.36,34.67,14.73,moderate
474.87,46.74,105.85,24.17,high
418.08,6.44,62.78,3.94,low
377.44,17.9,38.6,5.39,low
464.77,0.22,94.99,20.99,high
321.53,0.46,100.32,25.17,high
342.21,13.63,59.5,16.58,moderate
406.93,9.3,61.38,0.97,low
417.83,6.14,59.41,2.18,low
381.48,11.82,41.54,4.84,normal
384.99,16.9,55.89,3.19,normal
387.83,17.46,83.43,14.85,moderate
388.84,31.31,85.78,1.26,moderate
270.06,1.18,101.25,26.01,high
412.62,13.9,48.4,5.84,low
411.46,13.9,53.02,1.04,normal
409.02,34.59,43.48,17.96,moderate
465.37,0.84,91.86,24.1,high
363.0,5.04,32.32,3.31,low
261.73,35.19,105.58,28.94,high
385.64,19.12,51.03,4.69,normal
390.22,19.43,48.84,1.8,normal
387.88,12.25,69.82,1.58,low
388.06,18.02,47.35,4.83,normal
474.26,43.87,106.16,23.45,high
461.59,39.94,91.04,24.42,high
358.42,33.53,57.3,18.36,moderate
470.38,36.86,107.86,22.69,high
474.87,49.36,116.62,23.41,high
416.93,7.13,68.9,1.66,low
415.91,16.03,32.09,1.26,normal
388.28,6.41,40.84,6.92,low
415.59,17.57,68.45,3.55,low
412.96,12.88,67.29,1.63,low
396.36,8.43,48.67,1.03,low
354.88,32.77,89.24,4.09,moderate
365.09,17.36,67.79,2.54,low
411.28,34.73,86.46,12.35,moderate
263.18,35.87,109.93,29.16,high
354.57,31.52,77.98,2.64,moderate
257.77,1.63,111.58,25.41,high
368.64,17.9,34.7,5.24,low
271.06,46.82,104.76,27.22,high
386.47,16.42,51.36,4.33,normal
398.08,17.55,57.57,8.57,low
340.93,33.86,88.69,3.48,moderate
342.9,30.55,87.86,0.29,moderate
340.65,25.61,81.3,3.71,moderate
369.39,10.27,51.24,8.06,low
343.67,31.28,50.33,15.66,moderate
374.84,15.77,55.49,2.97,low
416.78,10.4,31.76,2.56,normal
388.56,18.08,37.23,7.88,low
358.01,27.43,75.36,4.43,moderate
341.4,15.17,74.82,15.27,moderate
391.77,14.13,40.54,1.88,normal
365.74,10.99,43.25,1.95,low
406.1,14.97,80.59,17.32,moderate
239.02,43.28,118.13,29.45,high
376.91,18.29,36.72,6.34,low
462.98,1.33,109.62,21.31,high
413.47,18.26,46.39,1.93,normal
386.44,12.18,35.17,4.3,normal
461.22,46.01,107.66,27.92,high
381.56,18.55,39.24,3.79,normal
391.22,12.4,37.6,4.46,normal
315.93,35.47,105.51,20.2,high
399.86,7.31,67.07,2.57,low
391.78,16.23,75.64,17.36,moderate
409.67,27.47,55.93,17.51,moderate
368.77,11.56,34.18,1.37,low
404.75,15.04,57.37,1.59,normal
464.49,41.28,96.96,21.6,high
359.41,19.49,77.86,14.1,moderate
413.11,17.29,55.57,1.1,normal
407.91,13.55,60.68,0.86,low
401.93,12.7,30.02,0.08,normal
239.43,0.02,101.22,23.97,high
357.9,31.83,75.26,0.28,moderate
221.45,44.68,92.91,26.39,high
245.44,46.97,117.45,21.76,high
400.82,33.41,82.92,1.97,moderate
372.18,5.27,38.1,0.04,low
342.9,19.87,76.27,1.1,moderate
388.46,28.13,34.73,17.33,moderate
371.25,12.19,49.04,5.86,low
472.74,1.56,104.76,22.41,high
416.24,15.46,79.25,12.01,moderate
213.92,44.05,113.59,24.59,high
473.08,1.99,119.85,25.75,high
364.26,17.29,43.05,8.46,low
406.77,5.11,57.78,4.5,low
390.04,10.37,38.47,4.29,normal
358.42,26.19,72.64,3.44,moderate
384.55,18.56,59.23,3.95,normal
460.33,43.24,111.63,29.34,high
391.86,25.4,74.27,19.1,moderate
404.79,11.68,41.2,7.23,low
349.14,32.72,81.08,1.7,moderate
385.8,27.4,43.92,15.76,moderate
402.13,10.15,44.02,3.49,normal
405.71,19.32,48.19,3.21,normal
476.54,48.04,101.1,27.8,high
398.31,19.99,52.95,4.77,normal
405.0,27.25,87.48,3.23,moderate
292.82,0.97,109.57,21.88,high
351.32,19.67,42.85,18.48,moderate
318.34,0.93,93.72,20.56,high
350.29,17.3,85.04,3.33,moderate
402.23,8.0,40.94,6.27,low
345.73,13.15,34.84,13.6,moderate
465.13,41.56,94.5,28.39,high
405.36,28.72,55.68,11.88,moderate
261.49,39.79,104.72,20.83,high
470.97,44.7,104.82,29.07,high
341.23,32.43,41.99,10.8,moderate
414.79,29.27,81.61,3.31,moderate
398.01,19.37,48.17,3.83,normal
260.54,0.36,118.21,20.32,high
400.54,13.53,32.33,4.32,normal
345.32,11.35,34.53,10.79,moderate
385.15,15.88,53.84,4.13,normal
389.11,12.87,67.69,4.8,low
385.16,19.18,81.19,14.76,moderate
359.58,13.51,73.36,4.87,moderate
237.29,0.65,101.37,26.37,high
410.03,16.68,61.72,7.95,low
271.09,1.9,111.74,23.79,high
381.85,31.39,85.37,3.97,moderate
353.49,34.85,33.09,17.75,moderate
348.34,34.1,47.41,15.15,moderate
375.93,12.7,39.23,0.9,low
462.99,1.58,110.53,22.31,high
282.72,0.52,95.69,28.39,high
417.17,6.24,49.61,8.02,low
414.17,8.2,40.43,4.56,low
404.56,7.07,61.52,1.35,low
473.74,44.48,99.95,28.88,high
416.05,30.28,40.53,18.29,moderate
382.83,15.12,58.37,2.73,normal
342.36,31.49,85.65,0.25,moderate
285.88,49.51,107.88,24.3,high
399.79,12.41,57.51,0.83,normal
392.63,15.22,49.95,0.74,normal
394.11,9.16,47.59,9.7,low
398.57,5.73,55.09,2.59,low
383.12,11.13,52.33,0.24,normal
365.95,10.6,60.88,0.58,low
399.88,18.51,54.61,0.03,normal
410.13,29.81,85.86,4.38,moderate
384.55,11.75,46.81,4.22,normal
405.92,31.59,88.23,19.4,moderate
417.33,13.83,55.63,3.09,normal
334.7,49.72,97.39,25.57,high
332.3,40.05,92.53,23.7,high
411.37,34.63,74.93,13.24,moderate
311.69,1.96,96.43,21.02,high
230.99,47.92,90.74,25.04,high
371.1,19.55,53.12,1.4,low
377.02,18.65,61.02,1.75,low
362.06,19.12,54.75,2.59,low
341.41,17.24,74.95,10.3,moderate
347.53,30.35,79.76,1.32,moderate
381.01,25.75,85.2,1.56,moderate
410.81,14.66,51.21,1.51,normal
393.45,17.02,40.21,3.05,normal
411.34,16.91,44.42,3.5,normal
400.88,26.02,50.64,10.89,moderate
383.12,19.13,51.55,1.21,normal
388.17,13.62,48.8,3.54,normal
229.65,47.85,92.83,20.05,high
303.51,0.23,99.7,28.85,high
415.69,10.75,53.13,4.2,normal
403.6,17.32,64.02,8.83,low
407.99,18.15,57.44,2.55,normal
380.02,15.65,54.73,2.3,normal
291.46,35.84,103.44,26.92,high
355.35,13.74,71.42,2.9,moderate
412.68,16.4,38.32,0.49,normal
388.46,17.89,51.04,4.52,normal
380.18,13.2,62.09,1.21,low
474.39,49.99,111.19,21.49,high
203.49,36.65,97.93,28.49,high
377.11,8.15,45.13,0.69,low
402.84,6.43,46.1,4.54,low
461.29,36.95,109.7,26.98,high
377.22,11.16,45.5,0.29,low
340.51,13.56,89.97,10.01,moderate
353.56,12.98,70.93,18.79,moderate
355.27,26.54,32.57,10.6,moderate
411.99,12.75,32.82,5.67,low
382.79,18.38,51.66,5.6,low
235.89,38.64,92.79,20.11,high
389.53,10.01,57.29,5.27,low
396.92,17.54,54.8,4.82,normal
389.9,18.97,38.37,2.08,normal
387.88,32.34,32.01,19.56,moderate
350.57,10.22,82.76,0.99,moderate
474.87,47.56,94.8,22.13,high
384.71,17.47,62.92,3.1,low
387.62,25.71,82.92,16.7,moderate
395.85,16.87,45.01,1.73,normal
380.7,10.98,57.58,4.05,normal
384.63,7.97,51.03,7.14,low
388.49,8.29,66.36,3.95,low
473.47,47.89,93.37,21.83,high
399.74,8.57,38.11,2.69,low
351.2,14.54,86.9,15.42,moderate
412.39,6.28,62.45,1.65,low
386.66,17.01,56.28,0.62,normal
361.07,13.45,47.93,3.61,low
247.44,1.78,113.52,28.95,high
390.65,19.39,30.8,0.09,normal
384.52,18.41,32.33,2.14,normal
415.52,7.28,67.81,1.72,low
359.93,19.55,88.55,4.48,moderate
407.41,16.38,38.24,1.56,normal
305.96,45.75,91.68,27.01,high
385.75,6.98,49.53,0.87,low
349.7,10.82,86.56,10.21,moderate
410.96,30.02,57.08,15.06,moderate
382.43,10.97,42.09,1.98,normal
415.27,16.74,57.25,0.31,normal
395.22,11.54,35.41,3.49,normal
460.21,47.06,111.36,22.47,high
359.83,27.13,74.75,0.47,moderate
471.0,37.0,93.03,28.21,high
407.78,14.65,61.37,3.18,low
398.89,18.87,51.19,5.78,low
355.78,13.86,73.89,3.63,moderate
463.04,38.49,94.16,28.67,high
408.08,14.68,67.18,1.91,low
382.46,9.75,44.36,4.3,low
414.07,30.62,73.95,3.46,moderate
398.33,7.27,68.47,3.17,low
405.18,11.53,88.75,12.79,moderate
330.15,0.08,93.29,25.35,high
465.21,1.72,118.46,21.28,high
464.78,0.32,115.05,27.38,high
415.82,16.06,30.44,0.95,normal
411.06,17.3,58.21,4.67,normal
397.86,5.38,66.62,1.73,low
337.89,0.06,107.98,20.09,high
275.33,1.97,111.17,20.41,high
395.53,12.84,52.99,1.93,normal
393.42,7.36,34.32,4.69,low
281.98,0.1,99.17,26.71,high
388.32,17.9,46.79,2.83,normal
461.34,43.34,111.21,22.82,high
380.65,15.92,56.76,2.05,normal
417.29,28.93,74.38,18.62,moderate
347.44,16.71,77.27,4.69,moderate
284.16,41.76,99.55,28.11,high
476.08,1.44,99.14,23.19,high
347.91,17.14,72.33,12.97,moderate
384.94,12.62,32.34,1.51,normal
360.32,16.6,60.59,0.43,low
407.25,19.92,36.73,0.29,normal
412.32,16.59,37.69,2.15,normal
416.55,19.87,83.89,10.57,moderate
415.1,10.34,48.27,4.33,normal
410.08,18.15,58.55,3.17,normal
306.86,46.29,92.29,23.31,high
368.12,15.69,63.23,1.9,low
409.87,12.41,32.99,2.81,normal
378.5,9.14,54.9,4.09,low
212.76,45.69,100.63,22.24,high
412.94,18.8,63.74,4.17,low
396.6,18.1,31.69,1.51,normal
345.24,29.62,39.47,10.85,moderate
389.39,28.11,36.58,14.97,moderate
369.78,10.94,48.68,7.63,low
384.69,9.31,54.07,0.68,low
390.64,18.12,71.78,15.61,moderate
410.48,16.58,73.67,18.73,moderate
385.68,12.47,31.31,4.03,normal
222.38,1.36,106.19,24.01,high
402.47,8.6,48.19,0.54,low
416.07,12.84,59.2,2.08,normal
405.21,8.25,53.89,1.58,low
461.41,0.82,107.9,28.99,high
413.05,30.19,47.72,17.5,moderate
399.48,16.37,52.21,0.96,normal
463.3,43.72,116.08,26.82,high
478.37,42.94,90.76,24.18,high
390.9,19.1,31.29,4.85,normal
471.38,48.1,103.05,27.09,high
386.48,18.42,52.52,3.29,normal
355.79,31.8,46.29,4.46,moderate
370.64,9.25,32.54,1.03,low
387.87,5.75,31.97,2.62,low
389.96,29.62,85.26,18.23,moderate
211.19,0.55,95.93,23.26,high
472.97,40.94,106.43,26.2,high
401.95,25.01,75.59,15.41,moderate
355.78,11.68,71.56,12.14,moderate
396.59,13.46,35.23,4.28,normal
419.09,11.98,34.99,6.51,low
462.96,1.85,114.37,25.72,high
412.96,11.4,38.55,2.42,normal
410.35,15.29,40.24,2.0,normal
395.38,16.54,58.87,1.28,normal
462.33,0.93,102.24,24.51,high
334.1,43.77,98.92,28.8,high
356.9,26.13,86.67,3.67,moderate
393.93,30.44,56.83,17.11,moderate
358.69,27.76,39.08,10.41,moderate
391.59,30.99,82.4,2.79,moderate
346.77,31.53,78.39,3.59,moderate
373.59,15.04,31.42,9.37,low
351.2,17.33,82.37,1.85,moderate
401.24,16.33,31.42,1.06,normal
393.56,13.06,38.45,3.62,normal
343.22,13.04,46.14,17.37,moderate
381.52,11.03,66.35,3.99,low
353.0,12.87,83.52,15.83,moderate
384.6,27.22,71.73,11.49,moderate
398.56,10.61,63.25,6.09,low
364.41,17.04,41.06,6.52,low
466.3,37.47,109.21,27.05,high
410.2,8.03,41.87,5.9,low
418.75,10.64,42.2,4.49,normal
405.42,14.71,59.74,2.67,normal
305.72,0.44,96.14,27.5,high
461.74,36.91,116.56,28.7,high
413.28,7.88,41.49,7.66,low
466.53,45.03,98.8,26.86,high
367.76,13.04,58.27,5.06,low
416.05,8.94,63.47,3.24,low
394.13,19.72,55.26,0.7,normal
386.03,14.62,32.65,1.67,normal
379.95,15.6,46.35,7.44,low
385.83,15.96,35.68,0.63,normal
382.49,17.11,44.0,2.2,normal
330.74,40.98,96.62,21.0,high
414.52,6.61,46.75,2.45,low
417.79,7.44,59.07,1.25,low
417.71,16.94,57.62,1.2,normal
418.12,12.88,39.34,2.58,normal
358.77,27.44,82.28,0.26,moderate
461.02,37.69,105.5,29.06,high
386.19,11.15,46.09,9.79,low
417.01,19.24,81.72,15.81,moderate
473.0,41.96,117.45,23.29,high
389.83,17.13,57.53,0.33,normal
346.19,18.39,39.45,16.9,moderate
359.29,12.61,77.84,3.34,moderate
461.31,0.14,106.08,26.61,high
309.18,47.42,119.21,26.12,high
350.78,33.89,80.89,2.15,moderate
413.72,18.85,45.26,3.18,normal
473.58,44.97,96.3,25.81,high
316.77,1.23,103.05,28.83,high
383.39,6.84,67.81,1.22,low
399.03,29.37,43.79,16.08,moderate
382.41,10.36,33.68,3.11,normal
403.25,19.82,31.68,9.44,low
382.49,16.75,53.5,1.2,normal
467.49,38.51,90.58,25.81,high
463.67,47.82,107.01,26.56,high
397.68,15.22,37.62,1.38,normal
372.59,11.85,37.95,3.98,low
312.58,49.72,101.74,29.32,high
411.13,13.61,80.13,11.41,moderate
334.65,0.85,116.03,20.55,high
409.7,19.02,35.12,0.85,normal
344.65,31.98,74.49,3.77,moderate
340.67,26.12,50.71,10.5,moderate
396.57,33.25,83.26,19.26,moderate
395.75,14.1,69.73,8.95,low
395.46,33.74,83.69,19.13,moderate
386.59,19.78,55.58,2.41,normal
462.97,1.13,119.87,22.8,high
369.88,17.19,32.16,0.85,low
395.88,28.16,40.73,12.0,moderate
412.58,15.2,54.67,0.48,normal
382.2,30.81,50.37,15.17,moderate
356.1,10.51,58.74,13.19,moderate
400.8,16.11,44.79,0.35,normal
290.89,36.48,117.2,27.42,high
475.5,0.23,97.43,22.54,high
409.02,18.44,84.34,10.09,moderate
359.25,28.64,72.89,0.41,moderate
380.45,6.93,30.19,3.54,low
410.51,7.91,68.8,1.64,low
382.08,26.6,72.35,3.26,moderate
415.6,18.34,36.79,1.22,normal
389.01,9.85,43.55,4.67,low
401.04,16.54,41.6,2.3,normal
416.3,6.91,35.46,2.8,low
406.77,13.29,55.7,4.27,normal
474.25,1.39,93.68,28.48,high
414.43,11.57,56.84,3.07,normal
411.13,17.9,53.53,4.7,normal
394.95,10.01,73.41,11.75,moderate
407.98,10.73,31.92,2.03,normal
464.45,40.3,113.53,22.37,high
365.88,10.96,61.94,2.71,low
229.41,36.23,117.82,25.22,high
401.25,14.99,67.8,9.5,low
472.14,40.23,97.94,26.38,high
350.37,28.8,89.44,4.94,moderate
391.44,8.14,61.64,3.0,low
359.97,19.37,82.44,12.46,moderate
463.66,0.72,92.96,26.76,high
210.97,48.04,99.42,23.42,high
373.1,5.02,55.21,4.46,low
370.4,16.29,36.94,1.26,low
466.47,36.88,102.39,27.98,high
357.73,17.1,89.6,4.84,moderate
341.9,10.48,82.32,3.86,moderate
346.69,17.27,82.38,1.45,moderate
350.89,13.4,77.47,1.29,moderate
242.65,1.09,117.62,29.28,high
413.64,28.96,89.95,11.21,moderate
360.84,18.31,57.57,9.51,low
413.86,18.29,60.63,2.53,low
383.06,5.34,54.2,5.78,low
359.19,11.73,74.18,14.64,moderate
246.59,0.82,91.57,22.46,high
324.54,41.09,111.31,26.52,high
262.33,36.94,95.3,29.21,high
301.42,40.37,101.34,27.1,high
416.04,19.73,62.32,9.52,low
470.66,40.47,90.25,26.13,high
419.63,26.97,73.89,12.32,moderate
460.17,45.07,118.92,26.62,high
416.27,16.86,51.23,0.27,normal
340.56,29.49,85.21,0.63,moderate
395.43,25.73,70.7,18.68,moderate
397.44,12.59,34.95,6.28,low
418.01,13.0,59.73,1.03,normal
406.74,8.73,56.66,4.49,low
208.76,47.62,95.11,26.24,high
414.13,13.03,48.68,2.51,normal
353.46,18.45,75.42,0.71,moderate
405.21,17.09,59.05,4.71,normal
397.15,15.37,40.53,1.44,normal
375.25,13.0,65.51,3.91,low
461.81,0.54,112.98,26.12,high
391.71,17.27,54.34,2.89,normal
346.01,16.78,70.88,16.8,moderate
412.05,11.38,55.56,3.95,normal
270.41,0.51,91.01,24.46,high
411.27,13.26,44.3,2.93,normal
340.34,15.19,84.65,19.54,moderate
415.53,17.29,56.25,1.88,normal
473.41,40.97,112.61,27.41,high
404.09,18.1,34.63,1.93,normal
463.83,48.7,109.41,21.28,high
398.09,13.5,45.36,7.51,low
398.26,14.37,45.55,1.38,normal
413.71,10.8,76.34,18.66,moderate
404.11,11.39,66.57,2.76,low
395.35,14.53,46.94,2.13,normal
331.43,1.79,115.8,28.55,high
462.32,1.04,111.98,26.89,high
395.58,12.5,31.47,2.22,normal
348.91,30.99,46.29,3.79,moderate
389.54,16.36,49.93,5.54,low
354.39,33.16,82.09,4.02,moderate
397.67,15.57,41.0,3.42,normal
344.01,26.72,34.39,19.56,moderate
413.34,6.59,36.75,8.08,low
402.98,16.52,68.1,3.84,low
391.01,19.82,69.69,1.94,low
414.34,17.44,64.06,6.39,low
389.62,12.73,35.76,3.07,normal
397.74,13.94,74.51,11.12,moderate
413.54,13.74,56.18,4.39,normal
301.34,40.24,108.06,21.7,high
273.84,0.96,112.93,23.33,high
407.0,15.22,49.65,4.67,normal
390.33,16.87,61.94,4.68,low
405.41,15.06,57.14,2.07,normal
412.4,12.08,43.04,9.95,low
417.69,12.85,35.51,0.45,normal
392.56,14.66,66.93,7.71,low
399.49,15.9,48.61,1.9,normal
391.86,16.31,41.88,3.57,normal
407.43,15.45,52.43,0.77,normal
398.16,18.75,55.6,0.57,normal
398.2,18.07,53.87,4.44,normal
369.66,17.58,53.67,1.88,low
380.27,17.95,62.59,3.33,low
470.95,49.58,102.05,26.01,high
466.48,1.64,119.19,28.23,high
380.26,16.22,59.83,3.52,normal
387.11,6.03,43.62,7.32,low
467.12,0.89,103.32,29.83,high
340.37,26.48,82.21,2.78,moderate
402.53,14.15,42.25,4.81,normal
402.56,14.37,31.1,4.99,normal
473.76,40.65,99.36,25.15,high
391.67,18.73,40.12,3.91,normal
375.61,15.78,37.72,6.43,low
217.48,1.19,112.91,27.32,high
469.97,42.23,95.89,26.52,high
406.77,5.28,63.47,4.37,low
463.55,0.68,117.08,21.43,high
365.38,19.81,31.04,1.67,low
351.96,10.31,34.8,17.05,moderate
404.24,19.18,63.52,0.15,low
398.75,11.28,35.59,0.16,normal
386.64,27.59,52.77,12.5,moderate
333.29,41.16,94.18,24.53,high
388.54,11.79,86.83,12.76,moderate
342.16,28.46,37.36,0.06,moderate
363.45,11.17,60.89,3.16,low
358.42,25.38,41.38,18.8,moderate
398.68,25.93,73.45,4.07,moderate
398.8,17.91,42.18,3.72,normal
385.46,27.5,71.27,16.16,moderate
404.27,15.35,59.97,4.21,normal
348.86,29.97,85.42,3.71,moderate
349.33,25.1,42.9,19.46,moderate
412.72,30.86,73.16,0.25,moderate
415.2,5.41,66.9,0.44,low
460.55,48.52,109.49,27.35,high
376.93,17.04,44.42,1.05,low
210.31,1.1,108.7,29.88,high
406.4,18.89,59.58,0.77,normal
367.47,16.27,63.27,4.0,low
419.96,8.16,60.25,4.75,low
415.09,18.29,49.05,1.35,normal
217.2,44.33,96.63,28.85,high
372.63,10.24,66.76,4.31,low
409.31,10.46,63.45,0.92,low
298.33,36.96,96.07,20.34,high
371.53,14.3,42.91,8.67,low
411.57,16.79,80.03,13.36,moderate
367.86,11.35,35.74,4.48,low
462.16,1.41,98.99,25.71,high
414.06,9.09,52.0,4.79,low
330.42,43.49,102.36,26.88,high
478.74,49.6,104.03,23.66,high
407.44,13.74,40.51,2.91,normal
402.7,17.09,49.83,3.25,normal
463.52,44.23,119.21,21.82,high
394.26,10.59,59.92,4.52,normal
402.3,6.06,39.51,9.26,low
355.42,30.11,82.81,0.45,moderate
219.79,0.8,90.21,26.28,high
467.88,0.8,91.08,21.19,high
388.99,19.81,55.32,5.12,low
412.73,12.37,63.51,1.55,low
417.25,5.89,67.45,1.54,low
408.35,12.18,50.72,1.92,normal
382.17,7.66,60.58,0.53,low
409.02,10.87,37.77,1.86,normal
365.3,19.62,50.41,9.82,low
394.55,16.73,64.34,6.97,low
414.11,9.4,69.54,4.9,low
344.53,33.63,50.17,15.94,moderate
304.46,42.98,91.46,29.62,high
341.7,29.28,44.19,15.89,moderate
356.47,30.62,74.01,4.49,moderate
395.83,14.97,63.03,2.31,low
412.45,8.98,67.71,4.31,low
382.54,17.01,67.82,4.0,low
389.49,17.85,49.41,3.64,normal
378.0,11.85,54.85,2.48,low
416.87,10.31,44.58,2.36,normal
346.78,17.98,30.01,13.63,moderate
392.06,15.29,40.75,2.3,normal
473.42,0.67,109.49,23.27,high
384.69,12.24,57.46,6.44,low
354.79,16.84,77.81,4.43,moderate
408.61,18.61,46.73,4.12,normal
278.32,1.65,98.96,28.49,high
346.03,32.53,42.34,2.06,moderate
341.55,30.31,35.92,19.68,moderate
410.47,9.34,43.05,3.79,low
348.68,30.83,44.89,17.01,moderate
472.37,1.9,108.92,20.23,high
342.41,14.09,88.03,13.38,moderate
401.43,28.62,49.49,10.43,moderate
230.05,41.8,112.7,28.29,high
247.06,0.37,115.74,29.06,high
204.87,35.42,112.38,28.37,high
417.38,6.23,37.06,3.86,low
403.75,18.41,58.16,2.08,normal
385.79,31.8,80.29,0.82,moderate
471.78,42.81,101.51,27.09,high
467.71,40.54,97.55,29.97,high
409.08,13.59,44.36,3.97,normal
387.18,10.54,33.19,2.23,normal
351.4,34.84,55.19,4.2,moderate
403.52,11.98,58.78,1.77,normal
387.71,28.85,36.04,16.27,moderate
411.07,13.26,40.48,3.21,normal
407.99,33.03,82.21,1.02,moderate
373.43,5.79,45.72,2.61,low
377.89,17.32,33.25,9.8,low
395.77,13.97,58.03,0.65,normal
460.82,1.68,108.7,27.81,high
387.9,10.01,56.98,4.84,normal
396.77,12.34,68.84,3.57,low
233.18,0.39,102.08,21.07,high
247.82,37.63,111.78,20.53,high
474.79,37.78,95.95,22.81,high
387.56,33.67,78.38,4.71,moderate
410.03,13.23,43.77,3.52,normal
414.1,15.47,46.35,2.28,normal
475.63,0.12,119.07,29.71,high
418.37,17.93,56.46,0.67,normal
397.38,26.36,85.29,1.46,moderate
359.01,27.86,75.72,4.2,moderate
381.33,9.55,37.91,0.37,low
371.72,19.32,57.66,6.89,low
417.42,6.3,58.01,4.36,low
370.84,14.17,37.31,3.66,low
390.71,8.23,68.69,3.77,low
393.21,15.37,48.23,7.69,low
391.07,11.28,65.7,0.52,low
470.59,46.82,91.54,26.36,high
464.08,37.29,109.39,26.28,high
399.96,11.82,76.78,14.64,moderate
356.71,27.2,81.75,2.29,moderate
419.25,17.86,41.91,2.96,normal
370.63,8.87,34.95,4.13,low
358.53,13.71,79.62,3.22,moderate
382.52,15.7,45.54,4.35,normal
473.15,49.68,113.01,25.15,high
401.22,6.29,49.82,7.11,low
226.64,1.48,110.55,27.12,high
387.92,16.73,49.77,1.39,normal
384.12,18.15,39.08,0.28,normal
337.58,45.86,100.73,28.61,high
472.31,36.45,118.93,25.57,high
407.63,8.14,68.25,3.0,low
418.06,15.85,57.03,3.6,normal
367.89,16.72,50.28,2.83,low
378.99,15.01,54.54,1.5,low
385.37,5.95,52.19,8.26,low
419.24,32.27,89.74,16.25,moderate
404.69,15.67,58.59,4.45,normal
473.67,47.06,109.56,26.27,high
333.76,47.81,100.94,28.89,high
417.04,9.64,66.53,0.32,low
215.87,1.7,103.92,20.47,high
400.67,6.13,46.28,3.72,low
384.36,19.88,40.28,2.65,normal
389.72,26.57,53.6,17.93,moderate
241.99,35.39,106.0,27.23,high
402.31,19.16,36.93,3.71,normal
360.92,8.24,45.64,0.84,low
396.93,16.92,64.08,3.86,low
346.9,31.71,40.66,15.61,moderate
362.58,18.37,39.41,5.85,low
385.81,18.48,69.45,7.29,low
367.57,18.55,33.88,8.61,low
417.06,5.43,39.46,8.9,low
391.65,14.16,36.93,3.37,normal
467.17,1.31,111.14,20.36,high
406.04,18.26,43.16,3.07,normal
236.19,36.64,94.95,22.2,high
393.78,18.92,67.05,9.73,low
419.51,12.06,54.56,2.94,normal
393.34,14.33,37.91,1.4,normal
398.64,17.06,42.3,0.95,normal
382.05,5.52,65.98,4.46,low
358.09,30.64,89.92,0.31,moderate
388.22,15.56,32.06,2.54,normal
416.01,14.53,45.99,3.26,normal
345.01,29.48,31.83,0.6,moderate
358.78,19.94,38.65,11.04,moderate
401.36,28.05,40.89,18.13,moderate
377.08,14.24,34.81,4.39,low
383.63,16.41,67.57,1.05,low
417.6,9.39,34.88,9.68,low
418.12,14.47,59.43,2.24,normal
401.45,16.14,47.99,1.35,normal
417.21,13.27,32.4,4.61,normal
411.48,15.61,34.83,7.57,low
410.64,10.74,36.81,1.1,normal
372.88,14.83,42.63,1.92,low
206.08,1.28,109.01,28.1,high
369.65,7.78,36.7,3.06,low
412.12,12.06,60.7,3.26,low
274.41,1.87,105.73,22.11,high
344.93,26.49,75.61,3.65,moderate
464.43,45.72,106.44,27.36,high
400.98,11.42,42.12,2.58,normal
414.45,11.53,50.18,1.5,normal
387.51,34.39,78.59,17.38,moderate
352.72,29.75,71.1,1.87,moderate
369.57,17.98,55.59,0.62,low
364.98,10.44,40.73,4.24,low
380.47,29.08,70.62,14.16,moderate
380.22,11.72,57.72,9.71,low
206.45,1.16,108.66,29.03,high
378.97,11.95,67.81,0.06,low
409.19,27.47,88.47,11.55,moderate
388.35,32.7,77.62,4.51,moderate
478.53,0.74,108.78,27.52,high
386.69,17.75,31.92,2.81,normal
390.4,8.95,47.52,8.65,low
394.73,11.78,43.2,3.64,normal
297.99,0.23,100.14,25.67,high
365.03,9.0,42.92,4.28,low
406.13,6.62,45.08,1.7,low
402.79,18.56,49.01,6.09,low
351.31,26.07,53.96,0.27,moderate
387.37,30.1,38.08,17.0,moderate
353.71,25.64,87.2,0.77,moderate
395.33,15.67,35.33,3.03,normal
385.62,16.42,59.58,3.03,normal
394.33,15.05,49.69,1.69,normal
471.67,37.25,107.53,22.35,high
363.11,17.74,42.12,4.57,low
416.49,19.62,32.78,7.1,low
386.84,19.69,51.81,3.5,normal
341.8,25.4,86.57,0.52,moderate
385.12,7.72,41.41,6.72,low
346.19,10.37,76.39,12.19,moderate
350.4,19.81,89.47,13.05,moderate
287.62,0.21,90.6,24.57,high
412.55,17.06,65.38,0.32,low
468.38,1.41,101.34,28.51,high
